211 ID #,Section,Name,Address,Phone,Email,Website,Hours of Operation,Details,Fees
,ANIMALS/PETS,U of S Western College of Veterinary Medicine – Small Animal Clinic.,"52 Campus Drive, University of Saskatchewan, Saskatoon SK S7N 5B4",306-966-7126 Fax: 306-966-7156,vmc.info@usask.ca,https://vmc.usask.ca/services/small.php,Mon-Fri 8am-5pm also Clinic open 24 hours 7 days a week,"By appointments | Teaching hospital – supervised and attended by certified veterinarians | For emergencies outside of the hours listed above, the WCVM Veterinary Medical Centre operates a 24-hour call center (306-966-7126) that will put you in touch with the hospitals on call services",Per service provided
,BEREAVEMENT SUPPORT,Canada Purple Shield,"3002B Taylor Street East, Saskatoon, SK. S7H 4J2 Phone: 306-664-3139 or 1-800-661-8959 Email: kleinoffice@sasktel.net Website: www.purpleshieldcanada.ca/ Hours of Operation: Mon-Fri 9:00 am – 4:30 pm Details:",,,,,,
,BEREAVEMENT SUPPORT,Cherished Memories Funeral Home & Crematorium,"591 Centennial Drive, Martensville SK S0K 2T0",306-242-7888,cherishedmemories@sasktel.net,saskfunerals.ca,,,
,BEREAVEMENT SUPPORT,The Compassionate Friends-Saskatoon Chapter,1685 Edward Ave Saskatoon SK S7K 3B7,306-717-7744 24 hour outreach – Barb (Initial contact by phone first preferred but not mandatory),TCFSaskatoon@gmail.com,https://tcfsaskatoon.wordpress.com/,(Meeting time) – Last Tuesday of every month from 7:30pm-9:00pm,"A self-help group for bereaved parents | Lending library, email buddies, telephone friends, and an emailed newsletter 4 times per year | The Compassionate Friends is an international, peer support network for bereaved parents and their families | Support Group meeting once a month",
,BEREAVEMENT SUPPORT,Edwards Family Centre-Saskatoon Funeral Home,338 Fourth Ave N Saskatoon SK S7K 2L7,306-244-5577,mail@saskatoonfuneralhome.com,https://www.saskatoonfuneralhome.com/,Mon- Fri 9am-5pm,"Grief and loss resource lending library | Bereavement Support Group and Programs | Pet Loss Support Group: a peer support group for people who have experienced the death of a beloved companion animal; meets on the first and third Sunday of each month at 2:00pm at Family Pet Cremation Services, 210 A 33rd St E",
,BEREAVEMENT SUPPORT,Hillcrest Memorial Gardens – Funeral Home & Cemetery,210 Wess Rd Saskatoon SK S7V 0S4,306-477-4400 (Immediate assistance) 306-477-2236 (General inquiry),,https://www.arbormemorial.ca/en/hillcrest,Phones answered 24 hours,Preplanning for Cemetery and Funeral Arrangements | Traditional Burial and Cremation | Indoor and Outdoor Columbariums | On-site Funeral Home,
,BEREAVEMENT SUPPORT,The Last Post Fund,#330-6600 Trans-Canada Hwy Pointe-Claire QC H9R 4S2,,info@lastpost.ca Email for UGP: ugp@lastpost.ca,www.lastpostfund.ca,Mon-Fri 8am-4pm,"Veterans Affairs Canada Funeral and Burial Program | Unmarked Grave Program (UGP) | National Field of Honor (Point Claire, QC) & Columbarium and Local Fields of Honor | Indigenous Veterans Initiative (IVI)",
,BEREAVEMENT SUPPORT,Martens Warman Funeral Home,"402 Central Street W Warman, SK S0K 4S0",306-934-4888,martenswfh@sasktel.net,www.martenswarman.ca,"Call any time of the day, any day of the week, for immediate assistance.","Team of professionals provides each family with impeccable service, compassion and dignity for end-of-life care | Reasonable funeral rates | 30 years as a local family-operated business",
,BEREAVEMENT SUPPORT,"Mourning Glory- Acadia McKague’s Funeral Chapel, A Dignity Memorial Provider And Mourning Glory Funeral Services, A Dignity Memorial Provider",1201 8th St E Saskatoon SK S7H 0S5 Phone: 306-978-5200,,mourninggloryfs@DignityMemorial.com Website: www.dignitymemorial.com Hours of Operation: On call 24 hours. Office Hours: Monday-Friday 9 A.M. to 5 P.M. Saturday and Sunday by appointment Details:,,,,
,BEREAVEMENT SUPPORT,Park Funeral Home,311 3rd Ave N Saskatoon SK S7K 2H9,306-244-2103,park@arbormemorial.com,www.parkfuneral.ca,On call 24 hours,"We put families first, creating end-of-life events that celebrate their loved ones in a way that is meaningful to them | Aftercare and Estate Settlement Service is an important service we offer to all families we serve | Pre-Plan your final arrangements, spare your family from having to make decisions during a difficult time",
,BEREAVEMENT SUPPORT,Prairie Hospice Society,302-506 25th St E Saskatoon SK S7K 4A7 Contact: Main Office,306-249-5554,office@prairiehospice.org Website: www.PrairieHospice.org,,,"Compassionate non-medical care and companionship for those facing advancing illness, death and bereavement in the comfort of home | Respite, rides and small errands can be booked through our Hospice Now program | Comprehensively trained volunteers offer up to 4 hours per week of services, free of charge",
,CANCER,Array Fit Shop,407B 1st Ave N Saskatoon SK S7K 1X5,306-665-6544 Fax: 306-665-6557,array@arrayfitshop.com,https://arrayfitshop.com/,"Mon-Fri 9am-5pm, Sat 10am-3pm, closed Sun and on statutory holiday weekends","Mastectomy supplies, mastectomy bras/fittings, swimsuits | Wigs, turbans, scarves, supplies, sun protective clothing | Compression /support stockings, braces, orthotic binders, orthotic recovery shoes | Non-surgical bra fittings | Hospital calls when required | Bra fittings | Lingerie",
,CANCER,Canadian Cancer Society,,,connect@cancer.ca (general inquires) info@cancer.ca (cancer information and support),www.cancer.ca,,Cancer Information: | 50 Publications relating to cancer prevention/treatment | Support: | Cancer connections online community | Peer Support – connections to cancer patients on a similar cancer journey,
,CANCER,Cancer Centre,20 Campus Dr Saskatoon SK S7N 4H4,306-655-2662 After Hours Emergency: 306-655-1000,,www.saskcancer.ca,Mon-Fri 8am-4:30pm,"Treatment centre, support groups, patient and family counseling | Resource library for patient and family, wig boutique",
,CANCER,CancerConnection - Online Peer Support Community Canadian Cancer Society,,,cancerconnection@cancer.ca,https://www.cancerconnection.ca/s/,,"Provides a healthy, safe, and constructive environment for discussion, support and the exchange of information about managing cancer in your life | CancerConnection is intended for people with cancer, as well as family and friends",
,CANCER,Look Good Feel Better,,1-800-914-5665,workshops@lgfb.ca,www.LGFB.ca,,"Join us for our complimentary workshops to learn how to manage the appearance-related impact of cancer and its treatment. Topics include Skincare & Cosmetics, Hair Alternatives, Bras & Prostheses | Workshops are delivered in person and online, you can register for our workshops on our website or call us at 1-800-914-5665 to register over the phone",
,CANCER,"Prostate Cancer Support Group, Saskatoon","Meetings are held at the Edward's Centre at 333 4th Ave North, Saskatoon",306-260-0088,info.pcssaskatoon@gmail.com,https://www.pcssaskatoon.ca/,3rd Thursday of month: 7pm-9pm (except July and August),"Support group for men with prostate cancer and their families | Educational presentations, time for sharing",
,CANCER,BreastCheck - Screening Program for Breast Cancer,University Heights Square 130-1804 McOrmond Dr Saskatoon SK S7S 0A6,,ED.Coordinator@saskcancer.ca,https://saskcancer.ca/BreastCheck,Mon-Fri 8am-4:30pm,,
,CANCER,Wheels of Hope Transportation Services – Canadian Cancer Society,"Canadian Cancer Society, 55 St Clair Avenue West, Suite 300, Toronto, ON, M4V 2Y7",,transportation@cancer.ca,www.cancer.ca,(office hours) Mon-Fri 9:00am-5:00pm ET,"Volunteer drivers provide transportation to cancer treatment appointments for patients in need. | Passengers must be able to enter and exit a vehicle independently, and those who require assistance in the vehicle and at their appointments must bring a travel escort (18 years of age or older) with them on each ride. | Patients who wish to access the service must be referred to the program by a member of their treatment team at their hospital treatment location.",
,CAREGIVER RESOURCES,"Caregiver Information and Support, Saskatoon Council on Aging (SCOA)",2020 College Dr Saskatoon SK S7N 2W4,306-652-4411 Toll-Free: 1-888-652-4411,info@saskatooncaregiver.ca,www.saskatooncaregiver.ca,"Mon-Thurs 8:30am-4:30pm (closed over noon hour), Fridays office is closed - Staff work remotely phone 306-652-2255 to leave a message.","Resources and information for caregivers and their families, SCOA Aging Positive Resource Centre | Compassionate listening over the phone | Workshops and presentations on caregiver information | Major caregiver summit annually (Caregiver Week)",
,CAREGIVER RESOURCES,CANGRANDS National Kinship Support,,613-334-4246 Office: 639-318-0435,cangrands@yahoo.com,,7 am to 9 pm,"CANGRANDS offers 24/7 private online support to any kinship caregivers! If you have a grandchild, or other blood related child that you are caring for reach out!",No fee
,COMMUNITY DAY PROGRAMS,Adult Community Day Program – Convalescent Home (CPAS referral required),Saskatoon Convalescent Home 101-31st St W Saskatoon SK S7L 0P6,306-244-7155 ext.128 Fax: 306-244-2066,sydney.weeks@saskhealthauthority.ca,http://www.saskatoonconvalescenthome.com,Mon-Fri 11:30am-3pm,"Lunch provided (special diets available) | Recreational programs: music, games, guest speakers",Fees subject to change
,COMMUNITY DAY PROGRAMS,Adult Community Day Program – Oliver Lodge (CPAS referral required),"Oliver Lodge, 1405 Faulkner Cr Saskatoon SK S7L 3R5",306-986-5484 Fax: 306-382-9822,angie.hamp@saskhealthauthority.ca,www.oliverlodge.ca/day-program/,Mon-Fri 9:30am-3pm,"Programs: Vary but include exercises/stretches, music, baking, trivia, crafts, games, outings, pet visits and socializing | Taxi service with Riide at cost of $12 a day for majority of our clients | Snacks, refreshments and lunch provided throughout the day | Hairdresser services available at an extra cost | Individuals must contact CPAS 306-655-4346 for a referral to the program",$11.30 per day. Transportation can be provided at a cost of $12.00/day and is arranged by the Community Day Program staff
,COMMUNITY DAY PROGRAMS,Adult Community Day Program – Parkridge Centre (CPAS referral required),Parkridge Centre 110 Gropper Cres Saskatoon SK S7M 5N9,306-655-3878,,https://www.saskhealthauthority.ca/facilities-locations/parkridge-centre,Mon-Fri 9am-3pm,"Respite services; occupational, physical, recreational therapy (consultative) | Dietician | Personal care | Programs: baking, general exercises, music, computer training, special events, outings, pool exercises, and collaborative games | Encourage family involvement",CDP: $11.30 per day Subsidized taxi cost: $12.00 per day
,COMMUNITY DAY PROGRAMS,Cosmopolitan Industries Ltd.,#26-34th St E Saskatoon SK S7K 3Y2,306-664-3158 Fax: 306-244-5509,info@cosmoindustries.com,www.cosmoindustries.com Recycle: www.cosmoshred.ca,Mon-Fri 8am-4pm,Day Programs that provide employment opportunities for adults with intellectual disabilities,
,COMMUNITY DAY PROGRAMS,"Live Smart, TEMT (Travel Eat Meet Talk), Young at Heart - LutherCare Communities",1212 Osler St Saskatoon SK S7N 0T9,306-664-0345 ext. 345 Fax: 306-664-0311,cdp@luthercare.com,https://www.luthercare.com/community-day-program/,"Mon,Tues:11am-3pm","Individuals can self-refer, no CPAS required | The programs serve seniors living in the community who desire to maintain a healthy lifestyle, including meaningful social opportunities with their peers. | Offers discussions, informative presentations, entertainment, community outings, gentle exercise, hot noon meals/ refreshments","$9.25/person per session, transportation provided if necessary $10.00/day"
,COMMUNITY DAY PROGRAMS,Luther Seniors Centre (CPAS referral required),1800 Alexandra Ave Saskatoon SK S7K 3C7,306-664-0368 Fax: 306-664-0311,seniorscentre@luthercare.com,https://www.luthercare.com/community-day-program/,Mon-Fri 9:30am-3:30pm,"Care and programming: people with Alzheimer's Disease or related Dementia | Recreation programing targeting 5 domains of health | Social activities, spiritual care, support for caregivers | Activities: crafts, music, active games, exercises, cognitive stimulation, etc. | Lunch/snacks",Cost: $11.05/ day; subsidized transportation is available
,COMMUNITY DAY PROGRAMS,Sherbrooke Community Day Program (CPAS referral required),401 Acadia Dr Saskatoon SK S7H 2E7,306-655-3742 Fax: 306-655-3741,Trona.Doucette@saskhealthauthority.ca,https://www.sherbrookecommunitycentre.ca/community-day-program/,Mon-Fri 10:00am-4pm,"Occupational therapy | Physical therapy | Pool therapy (if applicable) | Recreational programs, including gardening, baking, a music group, trivia | Beauty salon | Bathing (arranged with home care) | Foot care, provided by the Victorian Order of Nurses | Community outings | Modified Sheltered Work Program, giving individuals the opportunity to participate in a sheltered work experience in a modified format",$9.50/day includes a meal at noon; $8.00 flat rate for transportation within the City of Saskatoon; fees subject to change
,COUNSELLING,Canadian Red Cross Friendly Calls Program,,Call 1-833-979-9779 toll-free from 9 a.m. to 5 p.m. on weekdays,,,Mon to Fri 9am to 5pm Website: https://www.redcross.ca/friendlycalls,"Matches people over the age of 18 with trained Red Cross personnel who connect with them regularly | Friendly calls, provide emotional support, | Encourage healthy coping strategies, | Suggest well-being resources and community connections to other existing services",Free
,COUNSELLING,Family Service Saskatoon,#102-506 25th St E Saskatoon SK S7K 4A7,306-244-0127 Fax: 306-244-1201,info@familyservice.sk.ca,www.familyservice.sk.ca,Mon-Fri 9am-5pm,"Employee and Family Assistance Programs | Individual, couple, family and group counselling | Family violence services | Child and Youth counselling | Group Programs – check our website for details",Call for more information
,COUNSELLING,Inclusion Saskatchewan,,306-955-3344,info@inclusionsk.com,https://www.inclusionsk.com/,,"If you live with an intellectual disability or if you know someone with an intellectual disability and need support or advocacy, Inclusion Saskatchewan may be able to help. We can work with anyone, regardless of what the intellectual disability may be. We do not require a diagnosis, have a specific IQ requirement, or need a referral. | Support and advocacy | Employment and transitions | Family Network workshops | Supported decision-making | Medical decision-making | Supporting online safety | Promote self-advocacy",Call for information
,COUNSELLING,Intimate Partner Violence Programs,City Hospital Main floor 1540-701 Queen St Saskatoon SK S7K 0M7,306-655-8999 Fax: 306-655-8806,,Interpersonal Violence and Abuse Programs in Saskatchewan | Victims of Crime and Abuse | Government of Saskatchewan,,"Provide services to adults 18 years or older who have used violence in their intimate relationships, are concerned about their behavior towards their partner, value healthy, equal and peaceful relationships, and are committed to changing their behaviors and beliefs | Program is intended to assist participants in developing nonviolent strategies to manage their personal, social, and emotional experiences | Treatment programs are delivered in a group format",
,COUNSELLING,Living and Loss Counselling,716 Queen St Saskatoon SK S7K 0M9,306-227-7323,livingandloss@gmail.com,www.livingandlosscounselling.com,,,
,COUNSELLING,Navera Community Connections,#200-506 25th St E Saskatoon SK S7K 4A7,306-244-7773 Fax: 306-244-8537,,https://navera.org,"Mon and Fri 9am-5pm, Tues, Wed, Thurs 9am-9pm","Previously known as CFS Saskatoon | Counselling | Family & Community Programs; anxiety and parent groups | Early Learning & Family Centers | Child, Youth, and adult programs available",Call for information
,COUNSELLING,Saskatoon Sexual Assault and Information Centre,201-506 25th St E Saskatoon SK S7K 4A7,,info@ssaic.ca,www.ssaic.ca,"Mon-Fri 9am-5pm, closed for lunch from 12pm-1pm","Individual and group counselling services (all genders and sexual orientations welcome) for victims of sexual violence and their supporters | Support when reporting to police or through the trial process | Offers educational presentations in person or virtually to discuss topics related to sexualized violence, consent, healthy relationships, and reporting | 24-hour crisis line for victims and survivors of sexual assault",
,COUNSELLING,Victim Services-Saskatoon Police Service,Box 1728 or Saskatoon Police Service Headquarters building76-25th St E Saskatoon SK S7K 3R6,306-975-8400 Fax: 306-975-8401,victim.services@police.saskatoon.sk.ca,https://saskatoonpolice.ca/victim/,Mon-Fri 9am-9pm,"A means for victims of crime and traumatic events to obtain information | Provides information, support, and referrals to lessen the immediate and long-term effects of crimes",
,COUNSELLING,White Dove Counselling and Mediation,1226 22nd Street West Saskatoon SK S7M 0S7,306-260-9464,angie@whitedovecounselling.ca,www.whitedovecounselling.ca,"Available evenings, weekends and virtual availability by appointment","I am a registered social worker (RSW) and a qualified mediator (q.med). | While I do offer counselling to individuals, couples, families and groups, I am trained to provide mediation in family and elder & estate (sometimes called intergenerational) matters. | Often times, families struggle to find a path forward concerning an aging loved one. A qualified mediator can help to identify the issues each party is facing and support finding solutions that satisfy the needs of each party involved. | Mediation is covered under the scope of practice for registered social workers and as an RSW fees for service may be eligible for reimbursement through personal or private health insurance.",
,CRISIS SHELTERS,The Salvation Army - Emergency After Hours,339 Avenue C S Saskatoon SK S7M 1N5,306-244-6280 / 306-242-6833,crossroads.frontdesk@salvationarmy.ca,https://www.salvationarmysaskatoon.org/,"Monday to Friday, 5pm - 8am; Saturday, Sundays and Statutory Holidays, 24 hours.","Men’s Emergency Shelter, Emergency After Hours Program, and New Frontiers Halfway House Program",
,CRISIS SHELTERS,Saskatoon Interval House.,,306-244-0185 Toll-Free: 1-888-338-0880,infoSIH@saskatoonintervalhouse.org,www.saskatoonintervalhouse.org,24-hour daily,"Counseling, referral, advocacy | Crisis call and information | 24-hour emergency temporary shelter for women with or without children, who have been forced to leave their home due to an abusive relationship | Short term accommodation in safe, supportive and confidential environment | Building does not have an elevator, must be able to take the stairs to access services",
,CRISIS SHELTERS,YWCA Saskatoon Crisis Shelter and Residence,510 25th St E Saskatoon SK S7K 4A7,306-244-2844,cdelgado@ywcasaskatoon.com,www.ywcasaskatoon.com,Open to calls 24/7,"Emergency shelter for women and children open 24 hours | Residence, short-term, emergency, and long-term accommodation for single women and youth programs | Provide basic food and personal items | Assistance with conflict resolution | Connections to legal resources and educational supports | Referrals to medical professionals if required for clients | Advocacy on behalf of the woman and/or child | Public health access | Access to Community Service Village Agencies | Access to the Fitness on 25th Facility for clients, memberships available for the public | Opportunity to participate in community dinners and movie nights for clients | Long-term two-year transitional housing options",
,CULTURAL & NEWCOMER GROUPS,Saskatoon Philippines Senior Citizen Foundation Inc.,7 Valens Dr Saskatoon SK S7L 3R8,,,https://www.facebook.com/groups/2405304436290861,,"Father’s and Mother’s Day lunches, Christmas parties, and holiday celebrations | Play bingo and cards, socialization | Volunteer every year at Folkfest",
,CULTURAL & NEWCOMER GROUPS,Global Gathering Place,100 5th Ave N Saskatoon SK S7K 2N7,306-665-0268,info@globalgatheringplace.com,www.globalgatheringplace.com,Mon-Fri 9am-5pm,"Global Gathering Place is a non-profit drop-in centre in Saskatoon that provides services for immigrants and refugees. Through a welcoming and inclusive environment, Global Gathering Place helps newcomers adapt to life in Canada by offering: | English classes, skills-building sessions, and social connection activities | One-on-one settlement guidance and group information sessions covering a range of topics for newcomers | Intensive case management, counselling, and employment support | Volunteering opportunities",
,CULTURAL & NEWCOMER GROUPS,International Women of Saskatoon,301-336 5th Ave N Saskatoon SK S7K 2P4,306-978-6611 Fax: 306-978-6614,infohub.saskatoon@iwssaskatoon.org,www.iwssaskatoon.org,Mon-Fri 9am-5pm; Saturday 9am-4:30pm,ActiveGray: Beyond 55 (seniors program) | Just4Women (Women's only program) | Computer and Job Skills Training Program | Employment Training Program (ETP) | Settlement Advisor Program | LARC sometimes operating in Prince Albert,
,CULTURAL & NEWCOMER GROUPS,Saskatchewan Indigenous Cultural Centre,305-2555 Grasswood Rd E Saskatoon SK S7T 0K1,306-244-1146 Fax: 306-665-6520,info@sicc.sk.ca,www.sicc.sk.ca,,"Language workshops, cultural connection | Indigenous storytelling and cultural resources",
,CULTURAL & NEWCOMER GROUPS,Saskatchewan Intercultural Association Inc.,601 B 1st Ave N Saskatoon SK S7K 1X7,306-978-1818 Fax: 306-978-1411,info@saskintercultural.org,www.saskintercultural.org,Mon-Fri 9am-4:30pm,"Dedicated to the promotion of equal opportunities and fair treatment of all people in our culturally diverse society | Cultural resource center, settlement services, employment programs, intercultural programs and services | Free adult English classes for CLB levels 1 to 8",
,CULTURAL & NEWCOMER GROUPS,Saskatoon Open Door Society,100-129 3rd Ave N Saskatoon SK S7K 2H4,306-653-4464 Fax: 306-653-7159,skopendoor@sods.sk.ca,www.sods.sk.ca,Mon-Fri 9am-5pm,Settlement and Family Support Services | Settlement and Community Services | Employment Services | English Language Training and Translation Services | Seniors Programming,
,CULTURAL & NEWCOMER GROUPS,Ukrainian Canadian Congress Saskatchewan Provincial Council,"910 Spadina Crescent East, Saskatoon, SK S7K 3H5",306-244-3800 (ask for Maryna O),education@umcnational.ca,https://umcnational.ca/,Wednesday-Saturday 10:00am-5:00pm,"Provide pre-arrival information and advice | Help with immediate settlement needs, such as: Social Insurance Number application, Saskatchewan Health Card application, Obtaining a Saskatchewan Driver’s License, Bank Accounts | Arrange for translation and interpretation services | English for Employment Program",General admission is free or by donation. Various fees for workshops and programs
,CULTURAL & NEWCOMER GROUPS,Wanuskewin Heritage Park,#4 Penner Rd Saskatoon SK S7K 3J7,306-931-6767,marketing@wanuskewin.com,www.wanuskewin.com,Mon-Sun 9:30am-5pm; statutory holidays-hours are seasonally variable,"Programs, guided tours, workshops, exhibits, restaurant, gift shop, catering, art galleries, and space/room rentals available | Memberships available | No pets allowed | No bikes allowed on the trails in the valley, thanks","Adult $16.00, Seniors $10.00, Students $12.00, Youth (6-17) $8.00, Children 5 and under free, Family $40.00, $5 flat rate daily parking"
,DENTAL,Accufit Denture Clinic,"Bay 3B 3602 Taylor Street East, Saskatoon, SK S7H 5H9",306-249-3737,accufitdentures@gmail.com,www.accufitdenturecentre.ca,Mon-Fri 9am to 12pm & 1pm to 5pm Closed Sat-Sun,"With our custom complete dentures, we have solutions tailored to your needs | Professionally affiliated with The Denturist Society of Saskatchewan | Excellent customer service | Competitive pricing and 100% satisfaction guarantee | Provide all of denture repair needs | Saskatoon area denture wearers appreciate the extra time and effort we put into finding the fit that works for you",
